time, mean, SD
239, 40.2727, 249.623
240, -7.13333, 167.177
241, -9.15909, 177.922
242, 14.7273, 117.562
243, 0.409091, 143.988
244, 4.22727, 194.86
245, 0.818182, 190.615
246, -40.0227, 125.35
247, 35.0227, 115.833
248, -1.04545, 211.768
249, -10.1364, 183.017
250, 11.9778, 171.777
251, -26.7273, 128.01
252, -14.0682, 144.819
253, 18.3182, 146.534
254, 4.11364, 196.129
255, 0.977273, 123.122
256, -2.43182, 177.402
257, -3.63636, 72.919
258, -13.6364, 133.062
259, 17.3636, 99.3186
260, 45.5111, 167.476
261, -34.8636, 146.082
262, 6.65909, 115.473
263, -4.29545, 101.991
264, -7, 135.72
265, 25.9091, 119.467
266, -14.5, 151.697
267, 1.02273, 120.606
268, 8.45455, 125.483
269, -39.9091, 99.013
270, -16.2, 110.238
271, 55.5, 55.0807
272, -23.3864, 114.212
273, 14.1818, 119.693
274, -0.818182, 152.83
275, -14.0682, 95.2061
276, -1.54545, 50.4568
277, 35.8182, 121.063
278, -11.4773, 151.81
279, -42.1778, 103.539
280, 33.9091, 84.581
281, -12.5909, 85.6484
282, -13.7727, 93.3062
283, 1.11364, 77.3414
284, 17.75, 56.8351
285, -14.9545, 136.161
286, 20.8182, 90.578
287, -4.59091, 84.1258
288, 0.159091, 97.785
289, -17.7045, 92.2318
290, 4.75556, 91.4032
291, 10.5682, 65.668
292, -3.75, 74.0887
293, 10.4318, 72.1275
294, -19.3864, 77.3966
295, -7.25, 56.7511
296, 1.09091, 73.0062
297, 5.56818, 43.4011
298, 9.70455, 112.541
299, 6.93182, 43.0372
300, -1.95556, 73.4381
301, 1.06818, 88.4535
302, 7.20455, 80.0229
303, -17.9545, 50.7041
304, 3.02273, 82.4352
305, 3.52273, 63.0532
306, -22.3636, 50.5673
307, 14.6364, 59.4555
308, 18.2727, 52.5333
309, -5.79545, 57.0895
310, 0.622222, 54.446
311, -24.1364, 52.9368
312, 4.09091, 118.041
313, 0.931818, 78.0083
314, -838.477, 3910.2
315, 2042.05, 7035.71
316, -857.864, 6219.72
317, -1710.14, 3809.69
318, 1768.32, 3157.18
319, -199.068, 1584.3
320, -412.933, 760.87
321, 691.795, 601.855
322, -571.136, 855.694
323, -131.773, 705.97
324, 356.545, 2404.03
325, 106.159, 3942.5
326, -383.773, 1362.28
327, 48.9545, 1744.56
328, -14.8409, 1772.46
329, -220.295, 1580.61
330, 687.244, 1047.96
331, -353.364, 622.933
332, -1.79545, 819.991
333, -100.409, 703.385
334, 235.955, 674.223
335, 141.182, 901.104
336, -358.841, 1363.5
337, 218.795, 1035.55
338, -187.273, 898.684
339, 53.6444, 685.319
340, 246.5, 476.901
