time, sound
414, 32.3409
415, -40.6364
416, -78.2273
417, 96.5909
418, 10.6364
419, 3.34091
420, 34.6222
421, -75.6818
422, 9.68182
423, -5.11364
424, -5.18182
425, 29.3182
426, -50.2727
427, 54.0909
428, -37.3864
429, 14.0909
430, -6.68889
431, -9.18182
432, -2.95455
433, 51.5
434, 7.88636
435, -80.9318
436, 62.9091
437, -31.4318
438, -0.25
439, 21.7045
440, -4.53333
441, 75.9773
442, -114.977
443, 53.8409
444, -6.18182
445, 0.590909
446, -22.9545
447, -24.9545
448, 29.2955
449, -2.29545
450, 11.0889
451, -3.90909
452, -11.9318
453, -11.5227
454, 15.8182
455, -4.84091
456, 6.86364
457, 29.0682
458, -26.4773
459, 13.3864
460, 7.55556
461, -60.5455
462, 79.8864
463, -37.5909
464, -29.9091
465, 5.93182
466, 19.5909
467, 12.8864
468, 14.7727
469, -5.11364
470, -22.5111
471, 2.56818
472, 27.0227
473, -36.0682
474, 10.6136
475, -7.52273
476, 8.47727
477, 5.06818
478, 16.8182
479, -17.2045
480, -18.8889
481, 21.7273
482, 15.2955
483, -0.5
484, -12.8182
485, -2.38636
486, -16.7273
487, 17.0682
488, 3.61364
489, -38.3636
490, -48.9333
491, -793.886
492, 2900.5
493, -2378.89
494, -936.977
495, 1840.61
496, -433.773
497, -150.295
498, 497.136
499, -721.136
500, 222
501, 482.841
502, -347.977
503, -513.136
504, 245.091
505, 60.7727
506, 100.614
507, 265.955
508, -481.773
509, 269.273
510, -32.3333
511, -50.6818
512, 16.0227
513, -106.25
514, 120.614
515, -173.227
516, 223.568
517, 122.636
518, -254.455
519, -117.318
520, 235.467
521, -90.2727
522, 26.9773
523, -16.3864
524, 19.3864
525, 126.477
526, -42.3409
527, -65.7273
528, 11.5
529, -136.455
530, 232.022
531, -100.614
532, 79.9773
533, -100.182
534, -138.659
535, 46.75
536, 49.7045
537, 38.3864
538, -4.34091
539, -8.54545
540, 16.2222
541, 33.0682
542, -258
543, 232.205
544, -56.75
545, 12.7045
546, 79.6818
547, -63.75
548, -76.5227
549, 134.133
550, -63.1364
551, -35.2955
552, 24.2045
553, -15.3636
554, 89.7955
555, -57.7727
556, 27.5227
557, -86.6818
558, 66.0682
559, 21.5556
560, -22.8864
561, -71.5909
562, 59.1818
563, -85.5909
564, 87.2955
565, -12.8864
566, 1.18182
567, 7.45455
568, -64.9773
569, 69.1364
570, 110.222
571, -129.523
572, 48.3182
573, -73.0909
574, -22.5682
575, 128.341
576, 2.18182
577, -126.773
578, 83.75
579, -43.8409
580, -10.2
581, 45.5455
582, -21.9091
583, 13.7955
584, 15.1591
585, 11.3636
586, -73.0227
587, 40.5227
588, -35.0455
589, 31.5
590, 16.2
591, 2.65909
592, -12.3864
593, 5.84091
594, 5.5
595, -47.9091
596, 26.2045
597, 2.22727
598, 31.7045
599, -21.4545
600, 11.8444
601, 44.25
602, -64.4091
603, -19.9545
604, 28.9091
605, -43.0682
606, 32.9318
607, 2.77273
608, 29.7955
609, -53.5682
610, 33.6
611, 26.75
612, -67.8864
613, 33.9091
614, -45.6591
615, 76.0682
616, -20.9773
617, -22.8864
618, 19.5682
619, -4.15909
620, 16.3556
621, -14.3409
622, -34.7727
623, 21.8182
624, -2.52273
625, 14.2045
626, -3.86364
627, -8.90909
628, 11.4545
629, 13.4091
630, -37.1333
631, -16.7727
632, 60.1591
633, -5.43182
634, 5.5
635, 6.38636
636, -24.9545
637, -19.0909
638, 23.5
639, -0.0454545
640, -14.2667
641, 15.9545
642, -10.0227
643, -1.15909
644, -4.31818
645, -0.886364
646, 10.9318
647, -15.3864
648, 21.7727
649, 26.8864
650, -36.9111
651, 1.90909
652, 25.5455
653, -54.1364
654, 55.6136
655, -9
656, -49.6591
657, -862.432
658, 2017.11
659, -827.295
660, -1726.98
661, 1824.89
662, -286.114
663, -288.773
664, 606.682
665, -480.591
666, -144.091
667, 310.773
668, 53.7727
669, -336.727
670, 80.3111
671, -35.7727
672, -91.0227
673, 505.568
674, -288.318
675, 3.63636
676, -52.6136
677, 196.705
678, 96.0227
679, -272.689
680, 231.977
681, -227.682
682, 37.3409
683, 244.341
684, -242.841
685, 60.9091
686, -0.795455
